Date	Latitude	Longitude
03/06/16	41.890923	12.494381
15/06/16	41.890923	12.494381
20/06/16	41.890923	12.494381
28/05/16	41.890923	12.494381
03/06/16	41.890923	12.494381
23/05/16	41.890923	12.494381
30/05/16	41.890923	12.494381
07/04/16	44.532987	10.775529
07/01/18	40.809699	16.42531
07/01/18	40.809699	16.42531
22/04/18	39.359893	16.039588
07/01/18	40.4712427	17.2432278
14/10/16	38.1035389	15.6397556
21/02/17	45.6601574	8.7936705
11/03/17	45.901456	11.9955244
22/05/16	40.6824408	14.7680961
10/02/17	37.495337	15.08468
23/12/18	41.4925576	13.8305297
23/12/18	41.539107	13.866147
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
26/06/16	45.09459	7.67476
16/11/18	40.8359336	14.2487826
26/09/18	41.3839494	13.6806101
05/04/18	39.9302065	18.3584374
17/09/18	41.894802	12.4853384
14/08/18	46.1113355	12.9016287
30/10/18	37.6537292	12.5886912
26/01/19	38.1112268	13.3524434
08/07/18	40.3570373	18.1718482
02/11/18	45.0677551	7.6824892
04/11/18	45.0677551	7.6824892
01/11/18	45.0677551	7.6824892
11/07/16	38.1156879	13.3612671
11/07/16	38.1156879	13.3612671
11/07/16	38.1156879	13.3612671
31/10/18	39.0354447	16.9792627
26/02/17	37.5021788	15.0872574
04/03/17	37.5021788	15.0872574
26/02/17	37.5021788	15.0872574
29/06/18	40.9842539	16.6210027
01/04/19	40.8430257	14.802123
28/06/18	43.7698712	11.2555757
09/05/18	43.880598	11.0969262
28/01/19	40.897829	16.842487
29/01/19	40.897829	16.842487
28/01/17	39.0565974	16.5249864
11/05/18	41.6254728	15.9095926
13/08/18	45.221076	10.413579
14/08/18	45.221076	10.413579
26/08/18	38.1035389	15.6397556
01/06/18	41.3411011	14.6636259
23/05/17	39.963119	18.093826
19/10/18	37.5022355	15.08738
15/01/19	41.6254728	15.9095926
24/05/18	39.3099931	16.2501929
07/02/19	45.6944947	9.6698727
06/02/19	37.5022355	15.08738
01/03/19	42.5641417	12.6405466
14/11/18	41.1257843	16.8620293
22/02/19	43.9336213	10.9174238
22/07/17	45.5488306	11.5478825
01/08/18	38.1937571	15.5542082
01/08/18	38.1937571	15.5542082
27/08/18	43.7698712	11.2555757
13/07/17	40.8359336	14.2487826
16/11/18	41.259308	13.6080209
08/11/17	46.126182	11.249001
13/01/19	42.79021905	10.3402813924
05/01/19	40.4712427	17.2432278
25/04/18	43.4640246	11.8604618783
30/01/19	43.1119613	12.3890104
10/02/19	41.1257843	16.8620293
30/01/18	45.735097	11.391791
14/04/18	38.1112268	13.3524434
17/06/18	40.8359336	14.2487826
22/06/18	36.9507336	14.6074553
14/04/18	40.8359336	14.2487826
09/04/18	45.084839	7.66290497348
02/10/18	45.0677551	7.6824892
05/07/18	37.4562658	13.8854007
05/07/18	37.5022355	15.08738
13/07/18	37.5022355	15.08738
21/04/18	37.5022355	15.08738
19/07/18	40.919002	14.1529616
08/05/18	45.1762691	10.3129568
01/07/18	40.6384561	15.6358739
13/05/18	45.9549465	13.1417352
01/02/19	40.961323	15.814863
01/02/19	40.961323	15.814863
21/11/18	40.8359336	14.2487826
13/04/18	43.7698712	11.2555757
16/03/19	41.1526668	15.0885633
24/05/19	45.4077172	11.8734455
16/08/18	41.1295587	14.7824639
16/08/18	41.1295587	14.7824639
26/12/18	43.4640246	11.8604618783
